date,experiment_name,variant_name,n_logins,pay_perc_overall,pay_perc_1hr,sub_click_perc_1hr,click_to_init_perc_1hr,init_to_success_perc_1hr,n_paid_users,n_eligible_for_second_pay,second_pay_perc_excl_refunds,second_pay_perc_within_12hr_of_validity_end,second_paid_refund_perc_7day,cancelled_perc_overall,cancelled_perc_1hr,cancelled_perc_1day,d1_retention,d2_retention,d3_retention,d7_retention
"23 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],169,12.43,10.65,57.99,48.98,37.5,21,21,52.38,52.38,8.33,61.9,14.29,23.81,47.62,33.33,23.81,19.05
"24 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],334,11.98,10.78,62.28,43.75,39.56,40,40,47.5,50,9.09,65,17.5,17.5,52.5,45,35,5
"25 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],223,13.45,12.11,64.13,45.45,41.54,31,31,48.39,38.71,0,61.29,6.45,9.68,35.48,32.26,22.58,16.13
"26 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],245,17.55,16.33,68.16,47.9,50,48,48,54.17,50,3.85,54.17,6.25,14.58,56.25,52.08,31.25,20.83
"27 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],349,16.05,13.75,61.03,50.23,44.86,59,59,44.07,40.68,13.33,55.93,11.86,20.34,45.76,40.68,28.81,
"28 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],344,16.28,15.12,63.37,50.92,46.85,67,67,38.81,37.31,3.7,55.22,14.93,20.9,47.76,29.85,22.39,
"29 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],283,13.43,12.37,60.07,52.94,38.89,42,42,57.14,54.76,0,26.19,9.52,9.52,45.24,33.33,26.19,
"30 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],358,15.64,14.8,61.17,50.68,47.75,68,68,22.06,22.06,0,38.24,20.59,29.41,42.65,26.47,25,
"31 January, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],371,16.98,15.63,65.5,53.5,44.62,64,25,28,28,0,23.44,15.63,15.63,43.75,32.81,,
"1 February, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],345,11.88,11.3,65.51,45.58,37.86,51,0,,,,23.53,15.69,19.61,52.94,,,
"2 February, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],386,12.44,11.92,65.03,46.61,39.32,62,0,,,,20.97,17.74,20.97,,,,
"3 February, 2026, 00:00",course_v2/A1/homemaker,SRS with Can do on top [control: Spaced repetition track_V2 - new backend with pre and post test],143,14.69,14.69,63.64,51.65,44.68,25,0,,,,8,8,8,,,,
